"Title", "Directors", "Release Date", "Rating", "Run Time", "Genres"
"The Apartment", "Billy Wilder", "9/16/1960", "Not Rated", "125 mins", "Comedy-drama"
"The Best Years Of Our Lives", "William Wyler", "5/29/1947", "Approved", "172 mins", "Drama"
"The Bridge On The River Kwai", "David Lean", "12/14/1957", "PG", "161 mins", "Drama"
"The Deer Hunter", "Michael Cimino", "12/8/1978", "R", "183 mins", "Drama"
"The French Connection", "William Friedkin", "10/1/1971", "R", "104 mins", "Drama"
"The General", "Buster Keaton, Clyde Bruckman", "2/5/1927", "Passed", "77 mins", "Comedy"
"The Godfather", "Francis Ford Coppola", "3/24/1972", "R", "177 mins", "Drama"
"The Godfather Part Ii", "Francis Ford Coppola", "12/20/1974", "R", "200 mins", "Drama"
"The Gold Rush", "Charles Chaplin", "8/16/1925", "Not Rated", "74 mins", "Comedy-drama"
"The Graduate", "Mike Nichols", "12/21/1967", "PG", "105 mins", "Comedy-drama"
"The Grapes Of Wrath", "John Ford", "3/15/1940", "Passed", "129 mins", "Drama"
"The Last Picture Show", "Peter Bogdanovich", "10/1/1971", "R", "118 mins", "Drama"
"The Lord Of The Rings: The Fellowship Of The Ring", "Peter Jackson", "12/19/2001", "PG-13", "178 mins", "Adventure, Drama, Fantasy"
"The Maltese Falcon", "John Huston", "10/18/1941", "Not Rated", "100 mins", "Drama"
"The Philadelphia Story", "George Cukor", "1/17/1941", "Not Rated", "112 mins", "Romantic comedy"
"The Searchers", "John Ford", "5/26/1956", "Passed", "119 mins", "Western"
"The Shawshank Redemption", "Frank Darabont", "10/14/1994", "R", "142 mins", "Drama"
"The Silence Of The Lambs", "Jonathan Demme", "2/14/1991", "R", "120 mins", "Drama"
"The Sixth Sense", "M. Night Shyamalan", "8/6/1999", "PG-13", "107 mins", "Drama, Mystery, Thriller "
"The Sound Of Music", "Robert Wise", "4/1/1965", "G", "175 mins", "Musical, Drama"
"The Treasure Of The Sierra Madre", "John Huston", "1/24/1948", "Passed", "128 mins", "Drama, Adventure"
"The Wild Bunch", "Sam Peckinpah", "6/18/1969", "R", "135 mins", "Western"
"The Wizard Of Oz", "Victor Fleming, King Vidor", "8/25/1939", "PG", "101 mins", "Fantasy, Musical"
"Titanic", "James Cameron", "12/19/1997", "PG-13", "197 mins", "Drama, Romance"
"To Kill A Mockingbird", "Robert Mulligan", "12/25/1962", "Not Rated", "129 mins", "Drama"
"Tootsie", "Sydney Pollack", "12/17/1982", "PG", "116 mins", "Comedy-drama, Romance"
"Toy Story", "John Lasseter", "11/22/1995", "G", "81 mins", "Comedy"
"Unforgiven", "Clint Eastwood", "8/7/1992", "R", "130 mins", "Western"
"Vertigo", "Alfred Hitchcock", "5/28/1958", "PG", "120 mins", "Romance"
"West Side Story", "Robert Wise, Jerome Robbins", "12/23/1961", "Not Rated", "155 mins", "Drama, Musical"
"Who's Afraid Of Virginia Woolf?", "Mike Nichols", "6/22/1966", "Not Rated", "131 mins", "Drama"
"Yankee Doodle Dandy", "Michael Curtiz", "1/2/1943", "Passed", "126 mins", "Biography, Musical"
© 2019 GitHub, Inc.
